product_name,product_category_tree,retail_price,discounted_price,product_rating,overall_rating,brand,is_FK_Advantage_product,Stock_Level,Quantity,Rarity,Rarity_Encoded,Category_Encoded,Brand_Encoded
Secret Wish Cherry Print Navy Underwired Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Secret Wish Bras""]",1198.0,299.0,3.0,3.0,Navy,0,25,88,High,2,99,219
Ladyland Dia Beige Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Ladyland Bras""]",1499.0,529.0,5.0,5.0,Beige,0,165,2,Low,0,86,32
Peri Peri Women's Push-up Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Peri Peri Bras""]",999.0,349.0,3.2,3.2,Multicolor,1,62,26,Low,0,93,210
Madaam NonPadded Women's Tube Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Madaam Bras""]",367.0,127.0,1.0,1.0,Red,0,26,14,High,2,89,268
Vivity Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Vivity Bras""]",1000.0,299.0,4.0,4.0,White,0,93,59,Medium,1,105,372
Ladyland Daisy Pink Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Ladyland Bras""]",729.0,319.0,5.0,5.0,Pink,0,53,56,High,2,86,248
Ladyland Liz Black Bra Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Ladyland Bras""]",1599.0,539.0,5.0,5.0,Black,0,63,7,Medium,1,86,40
Ladyland Stellah Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Ladyland Bras""]",899.0,349.0,5.0,5.0,White,0,174,3,Medium,1,86,372
Urbaano Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Urbaano Bras""]",390.0,189.0,5.0,5.0,Purple,0,192,23,High,2,103,258
Oleva Women's Sports Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Oleva Bras""]",599.0,130.0,1.0,1.0,Light Brown,0,19,18,High,2,92,183
Younky Fashion Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Younky Bras""]",1299.0,149.0,3.0,3.0,Black,0,194,38,High,2,107,40
Luxemburg Women's Tube Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Luxemburg Bras""]",649.0,249.0,3.5,3.5,Purple,0,194,99,Low,0,88,258
Ladyland Life Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Ladyland Bras""]",849.0,349.0,5.0,5.0,Blue,0,179,15,Medium,1,86,44
Peri Peri Women's Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Peri Peri Bras""]",1099.0,384.0,3.7,3.7,Beige,1,194,64,Low,0,93,32
Vivity Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Vivity Bras""]",1000.0,299.0,2.3,2.3,White,0,55,89,Low,0,105,372
Tia by Ten on Ten Fashion Women's Push-up Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Tia by Ten on Ten Bras""]",1199.0,259.0,5.0,5.0,Blue,1,112,28,High,2,101,44
Grafion Comfortable Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Grafion Bras""]",499.0,129.0,5.0,5.0,Black,0,59,74,Low,0,81,40
Vaishna Fashion Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Vaishna Bras""]",230.0,99.0,5.0,5.0,White,0,68,39,High,2,104,372
Floret Women's Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Floret Bras""]",189.0,179.0,2.0,2.0,MAGENTA,0,135,57,Medium,1,80,189
Florentyne Padded Push-up Bra Women's Push-up Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Florentyne Bras""]",850.0,399.0,5.0,5.0,Cream,0,55,17,High,2,79,72
Vivity KFB-24 Women's Plunge Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Vivity Bras""]",1000.0,299.0,1.0,1.0,Blue,0,139,86,Low,0,105,44
Urbaano Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Urbaano Bras""]",600.0,270.0,5.0,5.0,Red,0,25,90,Low,0,103,268
Luxemburg Women's Tube Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Luxemburg Bras""]",649.0,249.0,2.0,2.0,Skin,0,77,44,High,2,88,301
PrettySecrets Fashion Women's Push-up Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> PrettySecrets Bras""]",899.0,899.0,1.0,1.0,Brown,1,171,25,High,2,95,52
Peri Peri Women's Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Peri Peri Bras""]",1199.0,419.0,1.0,1.0,Red,1,22,17,Low,0,93,268
Florentyne Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Florentyne Bras""]",850.0,399.0,5.0,5.0,Red,0,136,13,Medium,1,79,268
Florentyne Padded Push-up Bra Women's Push-up Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Florentyne Bras""]",850.0,399.0,5.0,5.0,Beige,0,93,84,Medium,1,79,32
JSR Paris Beauty Pro Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> JSR Paris Beauty Bras""]",499.0,214.0,5.0,5.0,Black,0,64,25,High,2,84,40
Vivity Women's Plunge Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Vivity Bras""]",1000.0,299.0,3.2,3.2,Brown,0,18,68,Medium,1,105,52
Triumph Form & Beauty 30 W Women's Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Triumph Bras""]",899.0,899.0,5.0,5.0,Deep Lavender,1,13,10,Low,0,102,86
Vivity Women's Plunge Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Vivity Bras""]",1000.0,299.0,5.0,5.0,Brown,0,94,67,High,2,105,52
Grafion Comfortable Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Grafion Bras""]",499.0,79.0,2.0,2.0,Pink,0,57,18,Low,0,81,248
Vivity Women's Plunge Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Vivity Bras""]",1000.0,299.0,5.0,5.0,Brown,0,134,86,Low,0,105,52
Florentyne Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Florentyne Bras""]",850.0,399.0,5.0,5.0,Skin,0,88,34,Medium,1,79,301
Hemali Pink Women's T-Shirt Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Hemali Bras""]",1800.0,550.0,4.0,4.0,Pink,0,96,8,High,2,82,248
Vaishna Fashion Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Vaishna Bras""]",630.0,259.0,5.0,5.0,White,0,115,40,High,2,104,372
Tia by Ten on Ten Stripey Women's T-Shirt Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Tia by Ten on Ten Bras""]",1199.0,255.0,1.0,1.0,Grey,1,192,83,Medium,1,101,130
Ladyland Comfy Beige Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Ladyland Bras""]",749.0,279.0,5.0,5.0,Beige,0,176,42,Low,0,86,32
Luxemburg Strapless Bandaeu Women's Tube Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Luxemburg Bras""]",799.0,299.0,5.0,5.0,Purple,0,12,41,Low,0,88,258
Ladyland Jenifer Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Ladyland Bras""]",799.0,349.0,5.0,5.0,Black,0,179,6,Low,0,86,40
Ladyland Daisy Purple Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Ladyland Bras""]",729.0,249.0,5.0,5.0,Purple,0,39,52,Low,0,86,258
Laceandme Super Comfort Women's Stick-on Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Laceandme Bras""]",1250.0,579.0,1.0,1.0,Beige,0,85,26,High,2,85,32
Vivity Women's Plunge Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Vivity Bras""]",1000.0,299.0,3.5,3.5,White,0,168,64,High,2,105,372
"PrettySecrets Women's T-Shirt, Push-up Bra","[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> PrettySecrets Bras""]",899.0,899.0,3.8,3.8,Red,0,54,98,Medium,1,95,268
Urbaano Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Urbaano Bras""]",1170.0,429.0,3.7,3.7,Red,0,108,59,Medium,1,103,268
Grafion by Grafion - Comfort Feel Women's Tube Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Grafion Bras""]",899.0,399.0,1.0,1.0,Black,0,136,56,High,2,81,40
Leading Lady Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Leading Lady Bras""]",375.0,170.0,3.9,3.9,White,0,6,59,High,2,87,372
S4S Comfortable Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> S4S Bras""]",499.0,122.0,5.0,5.0,Sky Blue,0,138,70,Low,0,97,304
Luxemburg Bandaeu Women's Tube Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Luxemburg Bras""]",1299.0,499.0,4.0,4.0,Black,0,58,33,Low,0,88,40
Luxemburg Women's Tube Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Luxemburg Bras""]",649.0,249.0,5.0,5.0,White,0,110,53,Medium,1,88,372
Vivity Women's Plunge Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Vivity Bras""]",1000.0,299.0,4.0,4.0,White,0,8,22,High,2,105,372
Luxemburg Red Black and Pink Color Women's Tube Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Luxemburg Bras""]",1299.0,499.0,3.0,3.0,Red,0,58,21,Medium,1,88,268
Itsmuahlife by ItsMuahLife - Dazzle Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Itsmuahlife Bras""]",999.0,299.0,3.0,3.0,Pink,0,195,70,High,2,83,248
Ladyland Cozy White Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Ladyland Bras""]",799.0,349.0,5.0,5.0,White,0,150,70,Low,0,86,372
Tia by Ten on Ten Fashion Women's Push-up Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Tia by Ten on Ten Bras""]",1199.0,270.0,5.0,5.0,Black,1,48,4,Medium,1,101,40
Younky Women's Sports Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Younky Bras""]",999.0,199.0,1.0,1.0,Red,0,166,94,Medium,1,107,268
JSR Paris Beauty Pro Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> JSR Paris Beauty Bras""]",499.0,214.0,3.5,3.5,Skin,0,194,75,High,2,84,301
SK Dreams Fashion Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> SK Dreams Bras""]",799.0,333.0,5.0,5.0,Multicolor,0,18,62,Low,0,98,210
Q-rious Dzire Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Q-rious Bras""]",309.0,125.0,5.0,5.0,Beige,0,99,62,Medium,1,96,32
Wolfie LaceRed117 Women's Push-up Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Wolfie Bras""]",1099.0,320.0,5.0,5.0,Red,0,52,94,Low,0,106,268
Younky Women's Sports Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Younky Bras""]",999.0,199.0,4.0,4.0,Black,0,19,95,Medium,1,107,40
Vivity Women's Plunge Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Vivity Bras""]",1000.0,299.0,5.0,5.0,Maroon,0,194,24,Low,0,105,199
Wolfie Neonbrapeach101 Women's Push-up Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Wolfie Bras""]",999.0,320.0,5.0,5.0,Pink,0,44,55,High,2,106,248
Younky Non_Padded Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Younky Bras""]",999.0,349.0,4.0,4.0,Multicolor,0,86,9,Medium,1,107,210
Tia by Ten on Ten Lacy Women's Push-up Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Tia by Ten on Ten Bras""]",1199.0,255.0,1.0,1.0,Blue,1,115,3,Medium,1,101,44
Tia by Ten on Ten Velvetina Women's Push-up Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Tia by Ten on Ten Bras""]",1199.0,500.0,5.0,5.0,Dark Pink,1,57,31,Low,0,101,81
Urbaano Bridal Bra Pack Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Urbaano Bras""]",1140.0,489.0,5.0,5.0,Purple,0,28,40,Low,0,103,258
Ladyland Liz Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Ladyland Bras""]",799.0,339.0,5.0,5.0,Black,0,158,36,Medium,1,86,40
Urbaano Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Urbaano Bras""]",900.0,399.0,5.0,5.0,Orange,0,192,24,High,2,103,235
Oleva Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Oleva Bras""]",599.0,99.0,2.3,2.3,Black,0,128,95,Low,0,92,40
PrettySecrets Fashion Women's Push-up Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> PrettySecrets Bras""]",899.0,809.0,5.0,5.0,Pink,1,45,6,Low,0,95,248
Magiq Zuhi Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Magiq Bras""]",650.0,250.0,1.0,1.0,Black,0,161,66,Low,0,90,40
Oleva Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Oleva Bras""]",599.0,99.0,1.0,1.0,White,0,19,84,Medium,1,92,372
Q-rious Dzire Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Q-rious Bras""]",309.0,125.0,5.0,5.0,Blue,0,49,92,Medium,1,96,44
Florentyne Padded Push-up Bra Women's Push-up Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Florentyne Bras""]",850.0,399.0,5.0,5.0,Black,0,69,75,Medium,1,79,40
Hemali Green Women's T-Shirt Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Hemali Bras""]",1200.0,399.0,4.0,4.0,Green,0,93,4,Medium,1,82,128
Vivity Women's Plunge Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Vivity Bras""]",1000.0,299.0,3.8,3.8,White,0,75,79,High,2,105,372
Madaam NonPadded Women's Tube Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Madaam Bras""]",647.0,284.0,2.5,2.5,Multicolor,0,13,6,High,2,89,210
Nutex by Insaler Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Nutex Bras""]",650.0,299.0,5.0,5.0,Pink,0,92,94,Medium,1,91,248
Vivity Women's Plunge Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Vivity Bras""]",1000.0,299.0,1.0,1.0,Red,0,133,51,High,2,105,268
Magiq Nice Merry Women's Push-up Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Magiq Bras""]",280.0,120.0,5.0,5.0,Maroon,0,140,62,Low,0,90,199
Ladyland Dia Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Ladyland Bras""]",749.0,299.0,5.0,5.0,Beige,0,67,57,Low,0,86,32
Wolfie Polkadotturqoise105 Women's Push-up Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Wolfie Bras""]",999.0,320.0,5.0,5.0,Turquise,0,143,66,Low,0,106,349
Wolfie RibbonMaroon118 Women's Push-up Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Wolfie Bras""]",1099.0,320.0,5.0,5.0,Maroon,0,85,79,Medium,1,106,199
Tia by Ten on Ten Comforting Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Tia by Ten on Ten Bras""]",599.0,255.0,3.0,3.0,Orange,1,140,75,Low,0,101,235
Ploomz Fashion Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Ploomz Bras""]",650.0,299.0,1.0,1.0,Blue,0,167,8,High,2,94,44
Vivity Women's Plunge Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Vivity Bras""]",1000.0,299.0,4.0,4.0,Dark Blue,0,167,26,Medium,1,105,80
Ladyland BOBBY Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Ladyland Bras""]",749.0,299.0,5.0,5.0,Beige,0,37,51,High,2,86,32
Tia by Ten on Ten Melange Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Tia by Ten on Ten Bras""]",1199.0,259.0,1.0,1.0,Grey Melange,1,127,45,Low,0,101,131
Wolfie Neonbrablue103 Women's Push-up Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Wolfie Bras""]",999.0,320.0,5.0,5.0,Blue,0,9,44,Low,0,106,44
Wolfie Designred110 Women's Push-up Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Wolfie Bras""]",999.0,320.0,5.0,5.0,Red,0,45,5,Low,0,106,268
Wolfie Neonbrapink102 Women's Push-up Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Wolfie Bras""]",999.0,320.0,5.0,5.0,Pink,0,32,70,Medium,1,106,248
Oleva Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Oleva Bras""]",599.0,99.0,1.0,1.0,LightPink,0,139,26,High,2,92,184
Peri Peri Women's Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Peri Peri Bras""]",1199.0,419.0,3.8,3.8,Red,1,76,68,Medium,1,93,268
Oleva Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Oleva Bras""]",599.0,99.0,2.7,2.7,Blue,0,16,19,Medium,1,92,44
Status Women's Minimizer Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Status Bras""]",500.0,225.0,4.0,4.0,Multicolor,0,166,84,Low,0,100,210
Younky Fashion Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Younky Bras""]",999.0,149.0,1.0,1.0,Pink,0,37,97,Medium,1,107,248
Floozy Its My Choice Women's Push-up Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Floozy Bras""]",1299.0,279.0,5.0,5.0,Black,0,52,20,Medium,1,78,40
Oleva Women's Sports Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Oleva Bras""]",599.0,130.0,1.0,1.0,Darkpink,0,155,12,Low,0,92,82
